"module_id","repo","provider","downloads","passed","failed","check_id","check_name","resource","file"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_9","Ensure IAM password policy expires passwords within 90 days or less","module.wrapper.aws_iam_account_password_policy.this","\modules\iam-account\main.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_11","Ensure IAM password policy requires at least one lowercase letter","module.wrapper.aws_iam_account_password_policy.this","\modules\iam-account\main.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_12","Ensure IAM password policy requires at least one number","module.wrapper.aws_iam_account_password_policy.this","\modules\iam-account\main.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_14","Ensure IAM password policy requires at least one symbol","module.wrapper.aws_iam_account_password_policy.this","\modules\iam-account\main.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_15","Ensure IAM password policy requires at least one uppercase letter","module.wrapper.aws_iam_account_password_policy.this","\modules\iam-account\main.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_109","Ensure IAM policies does not allow permissions management / resource exposure without constraints","module.wrapper.aws_iam_policy_document.aws_gateway_controller","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.aws_gateway_controller","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.aws_gateway_controller","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.cluster_autoscaler","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.efs_csi","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.external_dns","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.fsx_lustre_csi","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.fsx_lustre_csi","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.fsx_openzfs_csi","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.fsx_openzfs_csi","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.load_balancer_controller","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.load_balancer_controller","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.load_balancer_controller_targetgroup_only","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.load_balancer_controller_targetgroup_only","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.node_termination_handler","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.node_termination_handler","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_111","Ensure IAM policies does not allow write access without constraints","module.wrapper.aws_iam_policy_document.velero","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_356","Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions","module.wrapper.aws_iam_policy_document.velero","\modules\iam-role-for-service-accounts\policies.tf"
"terraform-aws-modules/iam/aws/6.6.1","terraform-aws-modules/terraform-aws-iam","aws","385948684","284","29","CKV_AWS_273","Ensure access is controlled through SSO and not AWS IAM defined users","module.wrapper.aws_iam_user.this","\modules\iam-user\main.tf"
