"module_id","repo","provider","downloads","passed","failed","check_id","check_name","resource","file"
"Azure/naming/azurerm/0.4.3","Azure/terraform-azurerm-naming","azurerm","18049307","","","","","",""
"claranet/regions/azurerm/8.0.5","claranet/terraform-azurerm-regions","azurerm","7168848","","","","","",""
"Azure/avm-res-network-virtualnetwork/azurerm/0.19.0","Azure/terraform-azurerm-avm-res-network-virtualnetwork","azurerm","5050145","2","2","CKV_TF_1","Ensure Terraform module sources use a commit hash","interfaces","\main.interfaces.tf"
"Azure/avm-res-network-virtualnetwork/azurerm/0.19.0","Azure/terraform-azurerm-avm-res-network-virtualnetwork","azurerm","5050145","2","2","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.subnet.interfaces","\modules\subnet\main.tf"
"Azure/avm-res-keyvault-vault/azurerm/0.10.2","Azure/terraform-azurerm-avm-res-keyvault-vault","azurerm","3309009","8","2","CKV_AZURE_109","Ensure that key vault allows firewall rules settings","azurerm_key_vault.this","\main.tf"
"Azure/avm-res-keyvault-vault/azurerm/0.10.2","Azure/terraform-azurerm-avm-res-keyvault-vault","azurerm","3309009","8","2","CKV_AZURE_112","Ensure that key vault key is backed by HSM","module.keys.azurerm_key_vault_key.this","\modules\key\main.tf"
"Azure/vnet/azurerm/5.0.1","Azure/terraform-azurerm-vnet","azurerm","3275789","4","0","","","",""
"Azure/avm-res-network-networksecuritygroup/azurerm/0.5.1","Azure/terraform-azurerm-avm-res-network-networksecuritygroup","azurerm","3264526","8","0","","","",""
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.diagnostic_setting_blob.interfaces","\modules\diagnostic_setting\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.diagnostic_setting_file.interfaces","\modules\diagnostic_setting\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.diagnostic_setting_queue.interfaces","\modules\diagnostic_setting\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.diagnostic_setting_storage_account.interfaces","\modules\diagnostic_setting\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.diagnostic_setting_table.interfaces","\modules\diagnostic_setting\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.role_assignments.interfaces","\modules\role_assignments\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.containers.module.role_assignments.interfaces","\modules\role_assignments\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.private_endpoints.module.role_assignments.interfaces","\modules\role_assignments\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.queues.module.role_assignments.interfaces","\modules\role_assignments\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.shares.module.role_assignments.interfaces","\modules\role_assignments\main.tf"
"Azure/avm-res-storage-storageaccount/azurerm/0.7.3","Azure/terraform-azurerm-avm-res-storage-storageaccount","azurerm","3261139","11","11","CKV_TF_1","Ensure Terraform module sources use a commit hash","module.tables.module.role_assignments.interfaces","\modules\role_assignments\main.tf"
"Azure/avm-res-compute-virtualmachine/azurerm/0.21.0","Azure/terraform-azurerm-avm-res-compute-virtualmachine","azurerm","2830648","7","0","","","",""
"Azure/avm-utl-regions/azurerm/0.12.0","Azure/terraform-azurerm-avm-utl-regions","azurerm","2740862","","","","","",""
"Azure/avm-res-managedidentity-userassignedidentity/azurerm/0.5.1","Azure/terraform-azurerm-avm-res-managedidentity-userassignedidentity","azurerm","2321893","","","","","",""
"Azure/avm-res-resources-resourcegroup/azurerm/0.4.0","Azure/terraform-azurerm-avm-res-resources-resourcegroup","azurerm","2259223","1","1","CKV_TF_1","Ensure Terraform module sources use a commit hash","interfaces","\main.tf"
"Azure/caf-enterprise-scale/azurerm/6.3.1","Azure/terraform-azurerm-caf-enterprise-scale","azurerm","1539833","5","5","CKV_AZURE_183","Ensure that VNET uses local DNS addresses","azurerm_virtual_network.connectivity","\resources.connectivity.tf"
